cluster,color
dividing cells,lightgoldenrodyellow
Epidermis,mediumorchid1
Large parenchyma,gray26
Sclerenchyma,palevioletred2
Unknown,gray42
Xylem,deeppink2
Phloem,grey38
procambium,gray76
